gamma Case Scenario ES e_var Power n g h 
1   1   1 0.300      1.000 4.906368e-01  10   5   3 
1   1   1 0.300      1.000 6.597366e-01  15   5   3 
1   1   1 0.300      1.000 7.819067e-01  20   5   3 
1   1   1 0.300      1.000 9.183620e-01  15  10   5 
1   1   1 0.300      1.000 9.721272e-01  20  10   5 
1   1   1 0.300      1.000 9.911099e-01  25  10   5 
1   1   1 0.300      1.000 9.995861e-01  25  15   5 
1   1   1 0.300      1.000 9.973108e-01  20  15  10 
2   1   1 0.300      1.000 4.906368e-01  10   5   3 
2   1   1 0.300      1.000 6.597366e-01  15   5   3 
2   1   1 0.300      1.000 7.819067e-01  20   5   3 
2   1   1 0.300      1.000 9.183620e-01  15  10   5 
2   1   1 0.300      1.000 9.721272e-01  20  10   5 
2   1   1 0.300      1.000 9.911099e-01  25  10   5 
2   1   1 0.300      1.000 9.995861e-01  25  15   5 
2   1   1 0.300      1.000 9.973108e-01  20  15  10 
3   1   1 0.300      1.000 4.906368e-01  10   5   3 
3   1   1 0.300      1.000 6.597366e-01  15   5   3 
3   1   1 0.300      1.000 7.819067e-01  20   5   3 
3   1   1 0.300      1.000 9.183620e-01  15  10   5 
3   1   1 0.300      1.000 9.721272e-01  20  10   5 
3   1   1 0.300      1.000 9.911099e-01  25  10   5 
3   1   1 0.300      1.000 9.995861e-01  25  15   5 
3   1   1 0.300      1.000 9.973108e-01  20  15  10 
4   1   1 0.300      1.000 4.906368e-01  10   5   3 
4   1   1 0.300      1.000 6.597366e-01  15   5   3 
4   1   1 0.300      1.000 7.819067e-01  20   5   3 
4   1   1 0.300      1.000 9.183620e-01  15  10   5 
4   1   1 0.300      1.000 9.721272e-01  20  10   5 
4   1   1 0.300      1.000 9.911099e-01  25  10   5 
4   1   1 0.300      1.000 9.995861e-01  25  15   5 
4   1   1 0.300      1.000 9.973108e-01  20  15  10 
5   1   1 0.300      1.000 4.906368e-01  10   5   3 
5   1   1 0.300      1.000 6.597366e-01  15   5   3 
5   1   1 0.300      1.000 7.819067e-01  20   5   3 
5   1   1 0.300      1.000 9.183620e-01  15  10   5 
5   1   1 0.300      1.000 9.721272e-01  20  10   5 
5   1   1 0.300      1.000 9.911099e-01  25  10   5 
5   1   1 0.300      1.000 9.995861e-01  25  15   5 
5   1   1 0.300      1.000 9.973108e-01  20  15  10 
6   1   1 0.300      1.000 4.906368e-01  10   5   3 
6   1   1 0.300      1.000 6.597366e-01  15   5   3 
6   1   1 0.300      1.000 7.819067e-01  20   5   3 
6   1   1 0.300      1.000 9.183620e-01  15  10   5 
6   1   1 0.300      1.000 9.721272e-01  20  10   5 
6   1   1 0.300      1.000 9.911099e-01  25  10   5 
6   1   1 0.300      1.000 9.995861e-01  25  15   5 
6   1   1 0.300      1.000 9.973108e-01  20  15  10 
7   1   1 0.300      1.000 4.906368e-01  10   5   3 
7   1   1 0.300      1.000 6.597366e-01  15   5   3 
7   1   1 0.300      1.000 7.819067e-01  20   5   3 
7   1   1 0.300      1.000 9.183620e-01  15  10   5 
7   1   1 0.300      1.000 9.721272e-01  20  10   5 
7   1   1 0.300      1.000 9.911099e-01  25  10   5 
7   1   1 0.300      1.000 9.995861e-01  25  15   5 
